# S&P 500 constituents -- ticker,cik,company_name (Phase 1 Stage 4).
# Static CURRENT membership snapshot as of 2026-08-01. NOT point-in-time/historical
# membership: index adds/drops over time are not tracked (survivorship-bias limit).
# Membership source: github.com/datasets/s-and-p-500-companies (constituents.csv).
# CIKs resolved against SEC company_tickers.json (the map sec_client uses).
# Regenerate with scripts/financial_rag_resolve_sp500.py.
ticker,cik,company_name
A,0001090872,"AGILENT TECHNOLOGIES, INC."
AAPL,0000320193,Apple Inc.
ABBV,0001551152,AbbVie Inc.
ABNB,0001559720,"Airbnb, Inc."
ABT,0000001800,ABBOTT LABORATORIES
ACGL,0000947484,ARCH CAPITAL GROUP LTD.
ACN,0001467373,Accenture plc
ADBE,0000796343,ADOBE INC.
ADI,0000006281,ANALOG DEVICES INC
ADM,0000007084,Archer-Daniels-Midland Co
ADP,0000008670,AUTOMATIC DATA PROCESSING INC
ADSK,0000769397,"Autodesk, Inc."
AEE,0001002910,AMEREN CORP
AEP,0000004904,AMERICAN ELECTRIC POWER CO INC
AES,0000874761,AES CORP
AFL,0000004977,AFLAC INC
AIG,0000005272,"AMERICAN INTERNATIONAL GROUP, INC."
AIZ,0001267238,"ASSURANT, INC."
AJG,0000354190,Arthur J. Gallagher & Co.
AKAM,0001086222,AKAMAI TECHNOLOGIES INC
ALB,0000915913,ALBEMARLE CORP
ALGN,0001097149,ALIGN TECHNOLOGY INC
ALL,0000899051,ALLSTATE CORP
ALLE,0001579241,Allegion plc
AMAT,0000006951,APPLIED MATERIALS INC /DE
AMCR,0001748790,Amcor plc
AMD,0000002488,ADVANCED MICRO DEVICES INC
AME,0001037868,AMETEK INC/
AMGN,0000318154,AMGEN INC
AMP,0000820027,AMERIPRISE FINANCIAL INC
AMT,0001053507,AMERICAN TOWER CORP /MA/
AMZN,0001018724,AMAZON COM INC
ANET,0001596532,"Arista Networks, Inc."
AON,0000315293,Aon plc
AOS,0000091142,SMITH A O CORP
APA,0001841666,APA Corp
APD,0000002969,"Air Products & Chemicals, Inc."
APH,0000820313,AMPHENOL CORP /DE/
APO,0001858681,"Apollo Global Management, Inc."
APP,0001751008,AppLovin Corp
APTV,0001521332,Aptiv PLC
ARE,0001035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC."
ARES,0001176948,Ares Management Corp
ATO,0000731802,ATMOS ENERGY CORP
AVB,0000915912,AVALONBAY COMMUNITIES INC
AVGO,0001730168,Broadcom Inc.
AVY,0000008818,Avery Dennison Corp
AWK,0001410636,"American Water Works Company, Inc."
AXON,0001069183,"AXON ENTERPRISE, INC."
AXP,0000004962,AMERICAN EXPRESS CO
AZO,0000866787,AUTOZONE INC
BA,0000012927,BOEING CO
BAC,0000070858,BANK OF AMERICA CORP /DE/
BALL,0000009389,BALL Corp
BAX,0000010456,BAXTER INTERNATIONAL INC
BBY,0000764478,BEST BUY CO INC
BDX,0000010795,BECTON DICKINSON & CO
BEN,0000038777,FRANKLIN RESOURCES INC
BF-B,0000014693,BROWN FORMAN CORP
BG,0001996862,Bunge Global SA
BIIB,0000875045,BIOGEN INC.
BKNG,0001075531,Booking Holdings Inc.
BKR,0001701605,Baker Hughes Co
BLDR,0001316835,"Builders FirstSource, Inc."
BLK,0002012383,"BlackRock, Inc."
BMY,0000014272,BRISTOL MYERS SQUIBB CO
BNY,0001390777,Bank of New York Mellon Corp
BR,0001383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC."
BRK-B,0001067983,BERKSHIRE HATHAWAY INC
BRO,0000079282,"BROWN & BROWN, INC."
BSX,0000885725,BOSTON SCIENTIFIC CORP
BX,0001393818,Blackstone Inc.
BXP,0001037540,"BXP, Inc."
C,0000831001,CITIGROUP INC
CAH,0000721371,CARDINAL HEALTH INC
CARR,0001783180,CARRIER GLOBAL Corp
CASY,0000726958,CASEYS GENERAL STORES INC
CAT,0000018230,CATERPILLAR INC
CB,0000896159,Chubb Ltd
CBOE,0001374310,"Cboe Global Markets, Inc."
CBRE,0001138118,"CBRE GROUP, INC."
